azureip
2.58.103.0/24
4.144.0.0/12
4.160.0.0/11
4.192.0.0/10
13.64.0.0/11
13.104.0.0/15
13.106.0.0/16
13.107.0.0/23
13.107.2.0/24
13.107.8.0/24
13.107.10.0/23
13.107.14.0/24
13.107.17.0/24
13.107.20.0/24
13.107.23.0/24
13.107.25.0/24
13.107.26.0/23
13.107.28.0/22
13.107.32.0/22
13.107.36.0/23
13.107.38.0/24
13.107.41.0/24
13.107.44.0/23
13.107.55.0/24
13.107.57.0/24
13.107.58.0/23
13.107.60.0/22
13.107.64.0/18
13.107.130.0/23
13.107.132.0/22
13.107.141.0/24
13.107.142.0/23
13.107.144.0/20
13.107.161.0/24
13.107.162.0/23
13.107.164.0/22
13.107.168.0/21
13.107.176.0/20
13.107.192.0/19
13.107.224.0/20
13.107.240.0/21
13.107.248.0/22
13.107.252.0/23
13.107.255.0/24
20.0.0.0/11
20.33.4.0/23
20.33.10.0/23
20.33.12.0/22
20.33.16.0/20
20.33.32.0/19
20.33.64.0/18
20.33.128.0/22
20.33.132.0/23
20.33.135.0/24
20.33.137.0/24
20.33.138.0/23
20.33.140.0/24
20.33.142.0/23
20.33.144.0/20
20.33.160.0/19
20.33.192.0/18
20.36.0.0/15
20.38.0.0/16
20.39.0.0/19
20.39.32.0/20
20.39.48.0/21
20.39.56.0/23
20.39.60.0/22
20.39.64.0/18
20.39.128.0/17
20.40.0.0/19
20.40.32.0/20
20.40.48.0/23
20.40.50.0/24
20.40.51.0/25
20.40.51.128/29
20.40.51.136/30
20.40.51.140/32
20.40.51.142/31
20.40.51.144/28
20.40.51.160/27
20.40.51.192/26
20.40.52.0/22
20.40.56.0/21
20.40.64.0/18
20.40.128.0/17
20.41.0.0/16
20.42.0.0/15
20.44.0.0/15
20.46.0.0/16
20.47.35.0/24
20.47.36.0/24
20.47.41.0/24
20.47.49.0/24
20.47.52.0/24
20.47.72.0/23
20.47.88.0/24
20.47.128.0/17
20.48.0.0/12
20.64.0.0/10
20.135.0.0/16
20.136.0.0/17
20.143.0.0/16
20.150.0.0/15
20.152.0.0/15
20.157.0.0/23
20.157.3.0/24
20.157.4.0/23
20.157.8.0/22
20.157.101.0/24
20.157.131.0/24
20.157.133.0/24
20.157.135.0/24
20.157.136.0/23
20.157.138.0/24
20.157.154.0/24
20.157.156.0/24
20.157.161.0/24
20.157.162.0/24
20.157.165.0/24
20.157.168.0/23
20.157.173.0/24
20.157.174.0/23
20.157.177.0/24
20.157.178.0/24
20.157.183.0/24
20.157.187.0/24
20.157.188.0/22
20.157.192.0/23
20.157.197.0/24
20.157.199.0/24
20.157.200.0/24
20.157.203.0/24
20.157.204.0/22
20.157.208.0/24
20.157.224.0/22
20.157.228.0/23
20.157.232.0/22
20.157.237.0/24
20.157.238.0/24
20.157.241.0/24
20.157.242.0/23
20.157.247.0/24
20.157.249.0/24
20.157.251.0/24
20.157.253.0/24
20.157.254.0/23
20.160.0.0/12
20.184.0.0/13
20.192.0.0/10
23.96.0.0/14
23.100.0.0/15
23.102.0.0/16
23.103.64.0/18
23.103.128.0/17
40.64.0.0/15
40.66.0.0/17
40.66.166.0/24
40.67.0.0/16
40.68.0.0/14
40.74.0.0/15
40.76.0.0/14
40.80.0.0/13
40.88.0.0/15
40.90.0.0/22
40.90.5.0/24
40.90.6.0/23
40.90.8.0/21
40.90.16.0/20
40.90.32.0/19
40.90.64.0/18
40.90.128.0/17
40.91.0.0/16
40.92.0.0/14
40.96.0.0/13
40.104.0.0/14
40.108.128.0/17
40.110.0.0/15
40.112.0.0/13
40.120.0.0/14
40.124.0.0/16
40.125.0.0/17
40.126.0.0/18
40.126.128.0/17
40.127.0.0/16
40.162.0.0/16
40.169.0.0/16
40.170.0.0/15
41.223.11.0/24
45.8.43.0/24
45.66.80.0/24
45.82.119.0/24
45.143.224.0/23
46.29.242.0/24
51.10.0.0/15
51.12.0.0/15
51.51.0.0/16
51.53.0.0/16
51.103.0.0/16
51.104.0.0/15
51.107.0.0/16
51.116.0.0/16
51.120.0.0/16
51.124.0.0/16
51.132.0.0/16
51.136.0.0/15
51.138.0.0/16
51.140.0.0/14
51.144.0.0/15
52.96.0.0/12
52.112.0.0/16
52.113.0.0/17
52.113.128.0/18
52.113.192.0/23
52.113.198.0/23
52.113.200.0/21
52.113.208.0/20
52.113.224.0/19
52.114.0.0/15
52.120.0.0/15
52.122.36.0/22
52.122.52.0/22
52.122.72.0/21
52.122.80.0/20
52.122.144.0/22
52.122.164.0/22
52.122.168.0/21
52.122.176.0/20
52.122.192.0/22
52.122.204.0/22
52.122.208.0/20
52.122.224.0/21
52.122.236.0/22
52.122.240.0/20
52.123.0.0/16
52.125.0.0/16
52.136.0.0/13
52.146.0.0/15
52.148.0.0/14
52.152.0.0/13
52.160.0.0/11
52.224.0.0/11
57.150.0.0/15
57.152.0.0/13
57.160.0.0/12
62.12.56.0/22
62.12.60.0/23
64.4.0.0/19
64.4.32.0/20
64.4.49.0/24
64.4.50.0/23
64.4.52.0/22
64.4.56.0/21
64.13.130.0/24
65.52.0.0/16
65.54.0.0/17
65.54.128.0/18
65.54.192.0/20
65.54.208.0/22
65.54.212.0/23
65.54.214.0/24
65.54.216.0/21
65.54.224.0/19
65.55.0.0/16
66.119.144.0/20
66.178.148.0/23
68.154.0.0/15
68.210.0.0/15
68.218.0.0/15
68.220.0.0/15
69.52.192.0/23
69.52.198.0/23
69.59.17.0/24
69.84.180.0/24
70.37.0.0/17
70.37.128.0/18
70.152.0.0/15
70.156.0.0/15
72.18.78.0/24
72.144.0.0/14
72.152.0.0/14
74.80.229.0/24
74.160.0.0/14
74.176.0.0/14
74.200.130.0/24
74.224.0.0/14
74.234.0.0/15
74.240.0.0/14
74.248.0.0/15
91.216.184.0/24
92.118.22.0/23
94.143.105.0/24
94.143.106.0/23
94.143.108.0/24
94.245.64.0/18
98.64.0.0/14
98.70.0.0/15
102.37.0.0/16
102.133.0.0/16
103.8.80.0/24
103.58.119.0/24
103.131.148.0/23
103.155.245.0/24
103.164.237.0/24
103.189.128.0/24
103.249.62.0/23
104.40.0.0/14
104.44.0.0/18
104.44.64.0/24
104.44.66.0/23
104.44.68.0/22
104.44.72.0/21
104.44.80.0/20
104.44.96.0/19
104.44.128.0/17
104.45.0.0/16
104.46.0.0/15
104.146.128.0/17
104.208.0.0/13
108.140.0.0/14
111.221.16.0/21
111.221.24.0/22
111.221.29.0/24
111.221.30.0/23
111.221.64.0/18
113.197.64.0/22
128.94.0.0/16
129.35.19.0/24
131.253.1.0/24
131.253.5.0/24
131.253.6.0/24
131.253.8.0/24
131.253.12.0/22
131.253.24.0/21
131.253.32.0/24
131.253.34.0/23
131.253.36.0/22
131.253.40.0/21
131.253.61.0/24
131.253.62.0/23
131.253.128.0/17
132.164.0.0/16
132.245.0.0/16
134.170.0.0/16
135.56.0.0/24
135.130.0.0/16
135.149.0.0/16
137.70.152.0/24
137.70.154.0/24
137.116.0.0/15
137.135.0.0/16
138.91.0.0/16
138.105.0.0/16
138.128.250.0/23
138.239.0.0/16
142.0.188.0/24
142.147.54.0/24
142.147.61.0/24
145.46.160.0/23
147.140.72.0/23
147.145.0.0/16
147.243.0.0/16
148.7.0.0/16
150.171.0.0/19
150.171.33.0/24
150.171.34.0/23
150.171.36.0/22
150.171.45.0/24
150.171.46.0/23
150.171.48.0/20
150.171.64.0/18
150.171.128.0/17
151.206.0.0/16
155.62.0.0/16
157.31.0.0/16
157.55.0.0/16
157.56.0.0/16
157.95.0.0/16
158.23.0.0/16
158.158.0.0/16
159.128.0.0/16
161.69.104.0/24
161.195.96.0/22
161.195.155.0/24
161.221.0.0/22
161.221.4.0/24
167.92.211.0/24
167.92.212.0/24
167.105.0.0/16
167.162.0.0/16
167.186.0.0/16
168.61.0.0/16
168.62.0.0/15
169.138.0.0/16
170.88.82.0/23
170.88.84.0/23
170.114.39.0/24
170.114.47.0/24
170.114.56.0/23
170.165.0.0/16
170.176.205.0/24
172.128.0.0/16
172.129.0.0/23
172.129.2.0/24
172.129.4.0/22
172.129.8.0/21
172.129.16.0/20
172.129.32.0/19
172.129.64.0/18
172.129.128.0/17
172.130.0.0/15
172.132.0.0/14
172.136.0.0/13
172.144.0.0/12
172.160.0.0/11
172.200.0.0/13
172.208.0.0/13
173.241.37.0/24
176.116.123.0/24
178.255.242.0/24
185.52.203.0/24
185.76.37.0/24
185.113.189.0/24
185.117.183.0/24
185.117.230.0/24
185.135.57.0/24
185.149.54.0/24
185.154.80.0/22
185.187.104.0/23
185.187.106.0/24
185.195.244.0/23
185.209.208.0/23
185.211.208.0/24
185.242.139.0/24
191.232.0.0/13
192.40.79.0/24
192.48.225.0/24
192.84.160.0/23
192.100.104.0/21
192.100.112.0/20
192.100.128.0/22
192.102.165.0/24
192.197.157.0/24
193.149.64.0/19
193.221.113.0/24
194.41.19.0/24
194.41.22.0/24
194.44.235.0/24
194.50.21.0/24
194.180.131.0/24
195.8.43.0/24
195.85.113.0/24
195.105.26.0/24
195.114.140.0/24
198.8.73.0/24
198.22.19.0/24
198.22.205.0/24
198.47.13.0/24
198.49.8.0/24
198.51.0.0/24
198.52.0.0/24
198.180.95.0/24
198.180.97.0/24
198.185.5.0/24
198.200.130.0/24
198.206.164.0/24
199.0.184.0/23
199.30.16.0/20
199.60.28.0/24
199.65.28.0/24
199.65.243.0/24
199.65.247.0/24
199.65.251.0/24
199.103.90.0/23
199.103.122.0/24
199.189.36.0/23
199.242.32.0/20
199.242.48.0/21
199.255.253.0/24
202.12.70.0/24
202.89.224.0/21
203.32.10.0/23
203.84.134.0/23
204.14.180.0/22
204.79.135.0/24
204.79.179.0/24
204.79.195.0/24
204.79.252.0/24
204.95.96.0/20
204.152.140.0/23
205.135.211.0/24
205.135.212.0/24
205.143.44.0/23
206.138.168.0/21
206.191.224.0/19
207.46.0.0/19
207.46.36.0/22
207.46.40.0/21
207.46.48.0/20
207.46.64.0/18
207.46.128.0/17
207.68.128.0/18
208.66.228.0/24
208.68.136.0/21
208.76.45.0/24
208.76.46.0/24
208.80.20.0/23
208.84.0.0/21
209.199.0.0/16
209.240.192.0/19
212.1.218.0/23
212.1.222.0/23
212.46.57.0/24
213.156.248.0/24
213.199.128.0/18
213.218.48.0/22
216.32.180.0/22
